Member_ID,Customer_Age_Group,Games_Attended,Seasonal_Pass,Customer_Region,Region_Type
10218708,18–25,3,False,Canada,Domestic
10043567,18–25,2,False,Canada,Domestic
14272475,41–60,2,False,Canada,Domestic
10034985,18–25,5,False,Canada,Domestic
10004699,18–25,7,False,Canada,Domestic
10043010,<18,7,False,Canada,Domestic
10013460,26–40,3,False,Canada,Domestic
93269968,26–40,8,False,Canada,Domestic
10021603,26–40,7,False,Canada,Domestic
10029771,18–25,30,True,Canada,Domestic
8224341,18–25,6,False,USA,International
10037174,41–60,19,True,Canada,Domestic
10024152,18–25,3,False,Canada,Domestic
10000978,18–25,7,False,Canada,Domestic
41565099,26–40,3,False,Canada,Domestic
1876807,41–60,4,False,Canada,Domestic
20876220,26–40,5,False,Canada,Domestic
45770917,41–60,7,False,Canada,Domestic
27659606,26–40,2,False,Canada,Domestic
63431073,18–25,28,True,Canada,Domestic
87016574,18–25,4,False,Canada,Domestic
10002824,18–25,4,False,Canada,Domestic
50941473,26–40,2,False,Canada,Domestic
10034323,41–60,1,False,Canada,Domestic
10022609,41–60,6,False,Canada,Domestic
10024251,18–25,3,False,Canada,Domestic
10167845,<18,1,False,Canada,Domestic
10037439,18–25,3,False,Canada,Domestic
10023128,26–40,1,False,Canada,Domestic
50418019,26–40,4,False,Canada,Domestic
10028953,<18,3,False,USA,International
10002159,18–25,1,False,Canada,Domestic
10039582,26–40,1,False,Canada,Domestic
10020062,18–25,4,False,Canada,Domestic
27550612,<18,3,False,Canada,Domestic
10000999,18–25,8,False,Canada,Domestic
10042356,<18,7,False,Canada,Domestic
15147639,18–25,3,False,Canada,Domestic
10014802,18–25,18,True,Canada,Domestic
10031155,26–40,8,False,Canada,Domestic
11368611,18–25,8,False,Canada,Domestic
10026843,26–40,5,False,Canada,Domestic
10007006,26–40,5,False,Canada,Domestic
69477703,26–40,5,False,USA,International
10019016,41–60,3,False,Canada,Domestic
3002180,41–60,2,False,USA,International
10006423,18–25,6,False,USA,International
10038781,26–40,6,False,Canada,Domestic
