Product_ID,Barcode,Item_Category,Item_Name,Size,Unit_Price,Promotion,Channel,Selling_Date,Member_ID,Arrival_Date,Games_Attended,Seasonal_Pass,Customer_Age_Group,Customer_Region
,,,,,,,,,1370,,4,False,26–40,Canada
,,,,,,,,,7913,,7,False,26–40,Canada
,,,,,,,,,9041,,4,False,18–25,Canada
,,,,,,,,,13517,,4,False,60+,Canada
,,,,,,,,,18474,,4,False,<18,India
,,,,,,,,,18999,,3,False,18–25,Canada
,,,,,,,,,19277,,3,False,60+,Canada
,,,,,,,,,32251,,6,False,41–60,Canada
,,,,,,,,,48973,,6,False,26–40,Canada
,,,,,,,,,58575,,8,False,26–40,Canada
,,,,,,,,,58648,,19,True,18–25,Canada
,,,,,,,,,60632,,6,False,18–25,Canada
,,,,,,,,,67037,,4,False,41–60,Canada
,,,,,,,,,71138,,4,False,60+,Canada
,,,,,,,,,72345,,22,True,18–25,Canada
,,,,,,,,,78079,,3,False,18–25,Canada
,,,,,,,,,79886,,1,False,<18,Canada
,,,,,,,,,79987,,4,False,26–40,Canada
,,,,,,,,,87632,,7,False,<18,USA
,,,,,,,,,88091,,17,True,18–25,Canada
,,,,,,,,,88506,,1,False,26–40,South Korea
,,,,,,,,,89423,,6,False,41–60,Canada
,,,,,,,,,112455,,5,False,26–40,USA
,,,,,,,,,130263,,2,False,41–60,Canada
,,,,,,,,,131231,,4,False,18–25,USA
,,,,,,,,,136103,,7,False,18–25,USA
,,,,,,,,,141325,,23,True,<18,Canada
,,,,,,,,,154654,,3,False,26–40,Canada
,,,,,,,,,156008,,2,False,26–40,Canada
,,,,,,,,,156441,,5,False,26–40,Canada
,,,,,,,,,157072,,1,False,18–25,Canada
,,,,,,,,,160556,,3,False,41–60,Canada
,,,,,,,,,162249,,4,False,18–25,Canada
,,,,,,,,,162813,,7,False,18–25,Canada
,,,,,,,,,163820,,6,False,26–40,Canada
,,,,,,,,,164024,,1,False,26–40,Canada
,,,,,,,,,166524,,8,False,18–25,Canada
,,,,,,,,,169294,,2,False,60+,Canada
,,,,,,,,,177090,,1,False,26–40,Canada
,,,,,,,,,179970,,27,True,18–25,Canada
,,,,,,,,,184471,,2,False,60+,Canada
,,,,,,,,,202524,,1,False,18–25,Canada
,,,,,,,,,204561,,8,False,26–40,Canada
,,,,,,,,,209695,,7,False,18–25,Canada
,,,,,,,,,224766,,8,False,18–25,Canada
,,,,,,,,,225697,,7,False,18–25,Canada
,,,,,,,,,229594,,2,False,26–40,Canada
,,,,,,,,,233525,,3,False,18–25,Canada
,,,,,,,,,237084,,7,False,18–25,Canada
,,,,,,,,,238185,,4,False,18–25,Canada
,,,,,,,,,238423,,3,False,18–25,Canada
,,,,,,,,,244340,,3,False,26–40,Japan
,,,,,,,,,244781,,1,False,18–25,Canada
,,,,,,,,,244836,,5,False,<18,Canada
,,,,,,,,,248068,,7,False,60+,Canada
,,,,,,,,,249160,,8,False,41–60,Canada
,,,,,,,,,257760,,7,False,26–40,Canada
,,,,,,,,,273583,,4,False,26–40,Canada
,,,,,,,,,274482,,4,False,18–25,Canada
,,,,,,,,,278177,,16,True,41–60,Canada
,,,,,,,,,281456,,2,False,18–25,Canada
,,,,,,,,,281803,,1,False,41–60,Canada
,,,,,,,,,283493,,7,False,18–25,Canada
,,,,,,,,,283777,,5,False,18–25,Canada
,,,,,,,,,292583,,4,False,26–40,Canada
,,,,,,,,,292629,,8,False,26–40,Canada
,,,,,,,,,303697,,2,False,26–40,India
,,,,,,,,,311514,,2,False,<18,Canada
,,,,,,,,,315598,,4,False,60+,Canada
,,,,,,,,,327054,,6,False,18–25,USA
,,,,,,,,,332383,,2,False,26–40,Canada
,,,,,,,,,340324,,1,False,26–40,Canada
,,,,,,,,,344046,,5,False,18–25,Canada
,,,,,,,,,349521,,8,False,18–25,Canada
,,,,,,,,,352149,,5,False,18–25,Canada
,,,,,,,,,353714,,16,True,18–25,Canada
,,,,,,,,,356443,,4,False,18–25,Canada
,,,,,,,,,366905,,28,True,<18,Canada
